T,Flux,E
5448.50257,13.923,0.003
5448.51537,13.919,0.003
5448.52805,13.924,0.003
5448.54129,13.922,0.003
5448.55604,13.921,0.003
5448.56950,13.924,0.003
5448.61125,13.923,0.003
5448.65717,13.932,0.003
5449.47173,13.931,0.003
5449.48489,13.923,0.003
5449.49735,13.922,0.003
5449.51012,13.930,0.003
5449.52560,13.923,0.003
5449.54110,13.920,0.003
5449.55366,13.919,0.003
5449.61154,13.921,0.003
5449.62472,13.921,0.003
5450.48755,13.918,0.003
5450.50027,13.919,0.003
5450.51287,13.923,0.003
5450.52528,13.921,0.003
5450.53788,13.918,0.003
5450.55038,13.922,0.003
5450.56333,13.917,0.003
5450.57711,13.922,0.003
5450.59907,13.922,0.003
5450.61164,13.924,0.003
5450.62610,13.921,0.003
5450.63894,13.922,0.003
5450.65163,13.927,0.003
5451.48646,13.926,0.003
5451.49903,13.934,0.003
5451.51278,13.932,0.003
5451.52522,13.933,0.003
5451.62664,13.923,0.003
5451.64178,13.924,0.003
5451.65505,13.924,0.003
5453.49484,13.923,0.003
5453.61820,13.919,0.003
5457.51189,13.919,0.003
5457.57324,13.921,0.003
5457.61505,13.931,0.003
5458.50055,13.920,0.003
5458.55727,13.920,0.003
5458.62106,13.921,0.003
5459.47513,13.922,0.003
5459.52250,13.917,0.003
5459.56559,13.924,0.003
5459.61490,13.924,0.003
5460.51117,13.920,0.003
5460.55221,13.920,0.003
5460.61565,13.927,0.003
5461.51314,13.927,0.003
5461.56325,13.932,0.003
5461.60491,13.927,0.003
5462.49941,13.921,0.003
5462.62353,13.923,0.003
5463.52684,13.920,0.003
5463.62912,13.926,0.003
5464.51871,13.920,0.003
5464.59688,13.922,0.003
5465.55583,13.923,0.003
5467.57415,13.920,0.003
5469.53747,13.919,0.003
5470.55420,13.918,0.003
5471.56052,13.924,0.003
5472.51492,13.921,0.003
5472.59692,13.920,0.003
5473.56015,13.932,0.003
5476.54855,13.924,0.003
5478.52993,13.922,0.003
5480.53426,13.921,0.003
5481.50323,13.928,0.003
5485.55023,13.917,0.003
5486.53647,13.926,0.003
5487.51957,13.921,0.003
5488.50685,13.924,0.003
5489.49305,13.924,0.003
5490.49311,13.930,0.003
5491.49554,13.926,0.003
5493.53133,13.926,0.003
5495.51010,13.923,0.003
5497.50958,13.923,0.003
5499.51565,13.925,0.003
5504.50597,13.923,0.003
5595.86744,13.923,0.003
5596.86293,13.922,0.003
5597.86241,13.926,0.003
5598.85771,13.924,0.003
5599.86953,13.916,0.003
5600.86402,13.924,0.003
5600.88217,13.921,0.003
5601.88741,13.927,0.003
5602.85993,13.926,0.003
5604.86817,13.919,0.003
5605.86623,13.917,0.003
5606.86398,13.919,0.003
5607.86715,13.916,0.003
5608.86319,13.922,0.003
5610.88844,13.919,0.003
5611.85211,13.921,0.003
5612.86284,13.915,0.003
5614.84827,13.922,0.003
5615.85658,13.921,0.003
5616.84874,13.924,0.003
5617.88530,13.914,0.003
5620.83695,13.916,0.003
5621.84016,13.930,0.003
5622.87474,13.929,0.003
5624.83317,13.921,0.003
5625.81236,13.924,0.003
5626.80326,13.923,0.003
5627.83660,13.920,0.003
5628.84732,13.918,0.003
5629.81552,13.925,0.003
5630.79292,13.920,0.003
5631.81391,13.920,0.003
5632.82797,13.922,0.003
5633.78521,13.917,0.003
5634.84007,13.920,0.003
5635.84767,13.920,0.003
5637.80100,13.922,0.003
5638.78742,13.921,0.003
5639.76733,13.929,0.003
5639.84309,13.915,0.003
5640.77332,13.917,0.003
5640.81151,13.920,0.003
5640.84973,13.919,0.003
5640.89945,13.917,0.003
5641.76312,13.923,0.003
5641.80618,13.929,0.003
5641.88795,13.930,0.003
5642.76655,13.921,0.003
5642.82745,13.918,0.003
5642.88732,13.922,0.003
5643.74619,13.922,0.003
5643.78135,13.920,0.003
5643.81932,13.920,0.003
5643.87962,13.919,0.003
5644.74693,13.921,0.003
5644.78883,13.920,0.003
5644.85597,13.922,0.003
5644.90461,13.924,0.003
5647.78711,13.916,0.003
5647.84731,13.918,0.003
5647.86847,13.918,0.003
